Actor1	Actor2	Year
KANE, CAROL (I)	LYNCH, JOHN CARROLL	1993
JOLIE, ANGELINA	MORGAN, TRACY (II)	1996
FOLEY, DAVE (I)	WARD, JIM (I)	1992
JOHANSSON, SCARLETT	DAFOE, WILLEM	1992
SHEFFER, CRAIG	BROADBENT, JIM	1991
LING, BAI	MCGINLEY, JOHN C.	1994
THOMERSON, TIM (I)	SCHAECH, JOHNATHON	1995
HAUER, RUTGER	PETERS, ROBERT (I)	1992
WENHAM, DAVID	CAMPBELL, CHRISTA	1994
DILLARD, RICHARD (I)	PIVEN, JEREMY	1992
BENNETT, JEFF (I)	MCHATTIE, STEPHEN	1984
BALABAN, BOB (I)	AKIN, PHILIP	1992
AKIN, PHILIP	BRIDGES, BEAU (I)	1991
GALLAGHER, PETER (I)	KNIGHTLEY, KEIRA	1985
LYNCH, JANE (I)	BROLIN, JOSH	1992
WELKER, FRANK	MANESH, MARSHALL	1994
HAYSBERT, DENNIS	DOOLEY, PAUL	1981
MORTIMER, EMILY	FEORE, COLM	1996
JANSSEN, FAMKE	BANKS, ELIZABETH (II)	2000
CUDLITZ, MICHAEL	FRICKER, BRENDA	1992
FORLANI, CLAIRE	BANKS, BOYD	1996
HEIGL, KATHERINE	FULLER, KURT (I)	1992
TIRELLI, JAIME	SCHWARTZ, SCOTT L.	1995
BORGMAN, ERIC BRUNO	ZEGERS, KEVIN	1993
NASCARELLA, ARTHUR J.	DIEHL, JOHN	1994
FAHEY, JEFF	HAMILL, MARK (I)	1991
HALEY, EMILY D.	CEDRIC THE ENTERTAINER	2000
SHEEDY, ALLY	SMITROVICH, BILL	1992
RICE, BRETT	GLENN, SCOTT (I)	1992
LAMAS, LORENZO	LEACHMAN, CLORIS	1985
